A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;11;411;155474038;28-Nov-22;CSW;35598759;17346
2022;11;411;339070552;28-Nov-22;CSW;35598759;19672
2022;11;411;406945654;28-Nov-22;CSW;35598759;19672
2022;11;411;176983598;28-Nov-22;CSW;35598759;27686
2022;11;411;347925004;28-Nov-22;CSW;35598759;17346
2022;11;411;922095509;28-Nov-22;CSW;35598759;19672
2022;11;411;329427977;28-Nov-22;CSW;35598759;19672
2022;11;411;376123616;28-Nov-22;CSW;35598759;19672
2022;11;411;313357656;28-Nov-22;CSW;35598759;27686
2022;11;411;323278261;28-Nov-22;CSW;35598759;17346
2022;11;411;282120567;28-Nov-22;CSW;35598759;17346
2022;11;411;412550691;28-Nov-22;CSW;35598759;17346
2022;11;411;212758703;28-Nov-22;CSW;35598759;16970
2022;11;411;330042308;28-Nov-22;CSW;35598759;17346
2022;11;411;281067906;28-Nov-22;CSW;35598759;27686
2022;11;411;409806745;28-Nov-22;CSW;35598759;19672
2022;11;411;106486405;28-Nov-22;CSW;35598759;19224
2022;11;411;207394831;28-Nov-22;CSW;35598759;28594
2022;11;411;437908709;28-Nov-22;CSW;35598759;16970
2022;11;411;362923569;28-Nov-22;CSW;35598759;17346
2022;11;411;454876408;28-Nov-22;CSW;35598759;19224
2022;11;411;428817136;28-Nov-22;CSW;35598759;16970
2022;11;411;834335272;28-Nov-22;CSW;35598759;28594
2022;11;411;432601364;28-Nov-22;CSW;35598759;27038
2022;11;411;385529354;28-Nov-22;CSW;35598759;17346
2022;11;411;166632008;28-Nov-22;CSW;35598759;27686
2022;11;411;435271286;28-Nov-22;CSW;35598759;17346
2022;11;411;436071501;28-Nov-22;CSW;35598759;19672
2022;11;411;332302911;28-Nov-22;CSW;35598759;17346
2022;11;411;191818442;28-Nov-22;CSW;35598759;27686
2022;11;411;602615708;28-Nov-22;CSW;35598759;19672
2022;11;411;317211127;28-Nov-22;CSW;35598759;19672
2022;11;411;979715074;28-Nov-22;CSW;35598759;19672
2022;11;411;668255332;28-Nov-22;CSW;35598759;52006
2022;11;411;171011073;28-Nov-22;CSW;35598759;17346
2022;11;411;360501191;28-Nov-22;CSW;35598759;17346
2022;11;411;402671236;28-Nov-22;CSW;35598759;17346
2022;11;411;157067060;28-Nov-22;CSW;35598759;19672
2022;11;411;358198058;28-Nov-22;CSW;35598759;27686
2022;11;411;211212641;28-Nov-22;CSW;35598759;17346
2022;11;411;329471740;28-Nov-22;CSW;35598759;27686
2022;11;411;359337310;28-Nov-22;CSW;35598759;17346
2022;11;411;781615044;28-Nov-22;CSW;35598759;16970
2022;11;411;123756906;28-Nov-22;CSW;35598759;19224
2022;11;411;178144281;28-Nov-22;CSW;35598759;27686
2022;11;411;115512619;28-Nov-22;CSW;35598759;19672
2022;11;411;428094761;28-Nov-22;CSW;35598759;16970
2022;11;411;129445383;28-Nov-22;CSW;35598759;19672
2022;11;411;118182531;28-Nov-22;CSW;35598759;27686
2022;11;411;469355280;28-Nov-22;CSW;35598759;69582
2022;11;411;100739248;28-Nov-22;CSW;35598759;19672
2022;11;411;634715704;28-Nov-22;CSW;35598759;16970
2022;11;411;831915449;28-Nov-22;CSW;35598759;52006
2022;11;411;120469268;28-Nov-22;CSW;35598759;19672
2022;11;411;334633514;28-Nov-22;CSW;35598759;19672
2022;11;411;444333909;28-Nov-22;CSW;35598759;19672
2022;11;411;203311692;28-Nov-22;CSW;35598759;27686
2022;11;411;667857729;28-Nov-22;CSW;35598759;19672
2022;11;411;362701523;28-Nov-22;CSW;35598759;19672
2022;11;411;407531358;28-Nov-22;CSW;35598759;16970
2022;11;411;454279177;28-Nov-22;CSW;35598759;19672
2022;11;411;136502293;28-Nov-22;CSW;35598759;19672
2022;11;411;352200084;28-Nov-22;CSW;35598759;19672
2022;11;411;283083434;28-Nov-22;CSW;35598759;19672
2022;11;411;377162384;28-Nov-22;CSW;35598759;27686
2022;11;411;455548813;28-Nov-22;CSW;35598759;27686
2022;11;411;316918296;28-Nov-22;CSW;35598759;19672
2022;11;411;394923708;28-Nov-22;CSW;35598759;27686
2022;11;411;436411325;28-Nov-22;CSW;35598759;27686
2022;11;411;121303224;28-Nov-22;CSW;35598759;27686
2022;11;411;401262137;28-Nov-22;CSW;35598759;19672
2022;11;411;268055162;28-Nov-22;CSW;35598759;19672
2022;11;411;156464018;28-Nov-22;CSW;35598759;27686
2022;11;411;600255428;28-Nov-22;CSW;35598759;16970
2022;11;411;967355957;28-Nov-22;CSW;35598759;17346
2022;11;411;388392321;28-Nov-22;CSW;35598759;19672
2022;11;411;437488066;28-Nov-22;CSW;35598759;19672
2022;11;411;316308635;28-Nov-22;CSW;35598759;16970
2022;11;411;499715183;28-Nov-22;CSW;35598759;19672
2022;11;411;211298515;28-Nov-22;CSW;35598759;19672
2022;11;411;333940584;28-Nov-22;CSW;35598759;17346
2022;11;411;134838285;28-Nov-22;CSW;35598759;17346
2022;11;411;107472357;28-Nov-22;CSW;35598759;17346
2022;11;411;273750078;28-Nov-22;CSW;35598759;19672
2022;11;411;405493881;28-Nov-22;CSW;35598759;17346
2022;11;411;184301009;28-Nov-22;CSW;35598759;17346
2022;11;411;417397707;28-Nov-22;CSW;35598759;27686
2022;11;411;291562763;28-Nov-22;CSW;35598759;19672
2022;11;411;181146209;28-Nov-22;CSW;35598759;27686
2022;11;411;207087812;28-Nov-22;CSW;35598759;28594
2022;11;411;316239372;28-Nov-22;CSW;35598759;16970
2022;11;411;361471696;28-Nov-22;CSW;35598759;17346
2022;11;411;419133419;28-Nov-22;CSW;35598759;17346
2022;11;411;438525807;28-Nov-22;CSW;35598759;17346
2022;11;411;778735195;28-Nov-22;CSW;35598759;17346
2022;11;411;664437166;28-Nov-22;CSW;35598759;27686
2022;11;411;880855244;28-Nov-22;CSW;35598759;27686
2022;11;411;455718720;28-Nov-22;CSW;35598759;27686
2022;11;411;426880162;28-Nov-22;CSW;35598759;16970
