ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;12;411;303051726;28-Nov-22;CSW;35598759;19672
2022;12;411;139611809;28-Nov-22;CSW;35598759;17092
2022;12;411;384295299;28-Nov-22;CSW;35598759;27686
2022;12;411;141544715;28-Nov-22;CSW;35598759;19672
2022;12;411;376355421;28-Nov-22;CSW;35598759;19672
2022;12;411;288515085;28-Nov-22;CSW;35598759;66672
2022;12;411;328850314;28-Nov-22;CSW;35598759;27686
2022;12;411;317210340;28-Nov-22;CSW;35598759;27686
2022;12;411;317209504;28-Nov-22;CSW;35598759;27686
2022;12;411;118024904;28-Nov-22;CSW;35598759;66672
2022;12;411;283226975;28-Nov-22;CSW;35598759;66672
2022;12;411;112372862;28-Nov-22;CSW;35598759;19672
2022;12;411;281883932;28-Nov-22;CSW;35598759;19672
2022;12;411;275101416;28-Nov-22;CSW;35598759;27686
2022;12;411;356224676;28-Nov-22;CSW;35598759;66672
2022;12;411;452575422;28-Nov-22;CSW;35598759;66672
2022;12;411;764855337;28-Nov-22;CSW;35598759;19672
2022;12;411;274954789;28-Nov-22;CSW;35598759;27686
2022;12;411;959995296;28-Nov-22;CSW;35598759;27686
2022;12;411;281171950;28-Nov-22;CSW;35598759;27686
2022;12;411;960035435;28-Nov-22;CSW;35598759;27686
2022;12;411;279275230;28-Nov-22;CSW;35598759;27686
2022;12;411;356141206;28-Nov-22;CSW;35598759;19672
2022;12;411;356142093;28-Nov-22;CSW;35598759;19672
2022;12;411;356144657;28-Nov-22;CSW;35598759;19672
2022;12;411;433485009;28-Nov-22;CSW;35598759;19672
2022;12;411;437020118;28-Nov-22;CSW;35598759;27686
2022;12;411;138000512;28-Nov-22;CSW;35598759;27686
2022;12;411;140453291;28-Nov-22;CSW;35598759;27686
2022;12;411;141795591;28-Nov-22;CSW;35598759;19672
2022;12;411;359854732;28-Nov-22;CSW;35598759;27686
2022;12;411;359855419;28-Nov-22;CSW;35598759;27686
2022;12;411;300764828;28-Nov-22;CSW;35598759;27686
2022;12;411;300763041;28-Nov-22;CSW;35598759;27686
2022;12;411;141860726;28-Nov-22;CSW;35598759;44731
2022;12;411;300762264;28-Nov-22;CSW;35598759;27686
2022;12;411;333806813;28-Nov-22;CSW;35598759;27038
2022;12;411;431981088;28-Nov-22;CSW;35598759;19672
2022;12;411;431981088;28-Nov-22;CSW;35598759;19672
2022;12;411;296261160;28-Nov-22;CSW;35598759;19672
2022;12;411;992815142;28-Nov-22;CSW;35598759;19672
2022;12;411;417345678;28-Nov-22;CSW;35598759;19672
2022;12;411;442233334;28-Nov-22;CSW;35598759;19672
2022;12;411;945115435;28-Nov-22;CSW;35598759;27686
2022;12;411;115763595;28-Nov-22;CSW;35598759;27686
2022;12;411;115764372;28-Nov-22;CSW;35598759;27686
2022;12;411;140095193;28-Nov-22;CSW;35598759;66672
2022;12;411;140524018;28-Nov-22;CSW;35598759;27686
2022;12;411;110951101;28-Nov-22;CSW;35598759;27686
2022;12;411;110952998;28-Nov-22;CSW;35598759;27686
2022;12;411;422041421;28-Nov-22;CSW;35598759;27686
2022;12;411;100283106;28-Nov-22;CSW;35598759;27686
2022;12;411;303180423;28-Nov-22;CSW;35598759;27686
2022;12;411;137990897;28-Nov-22;CSW;35598759;27686
2022;12;411;358731827;28-Nov-22;CSW;35598759;27686
2022;12;411;358732604;28-Nov-22;CSW;35598759;27686
2022;12;411;141087737;28-Nov-22;CSW;35598759;19672
2022;12;411;141065325;28-Nov-22;CSW;35598759;19672
2022;12;411;119286385;28-Nov-22;CSW;35598759;19672
2022;12;411;465975194;28-Nov-22;CSW;35598759;19672
2022;12;411;139759518;28-Nov-22;CSW;35598759;19672
2022;12;411;429323911;28-Nov-22;CSW;35598759;19672
2022;12;411;276796013;28-Nov-22;CSW;35598759;27686
2022;12;411;417819004;28-Nov-22;CSW;35598759;27686
2022;12;411;417822404;28-Nov-22;CSW;35598759;27686
2022;12;411;417821617;28-Nov-22;CSW;35598759;27686
2022;12;411;141863177;28-Nov-22;CSW;35598759;19672
2022;12;411;278008895;28-Nov-22;CSW;35598759;66672
2022;12;411;412502790;28-Nov-22;CSW;35598759;19672
2022;12;411;816516959;28-Nov-22;CSW;35598759;19672
2022;12;411;140982046;28-Nov-22;CSW;35598759;19672
2022;12;411;372079490;28-Nov-22;CSW;35598759;19672
2022;12;411;384848857;28-Nov-22;CSW;35598759;19672
2022;12;411;327681335;28-Nov-22;CSW;35598759;66672
2022;12;411;428080664;28-Nov-22;CSW;35598759;17346
2022;12;411;137915510;28-Nov-22;CSW;35598759;27686
2022;12;411;320177950;28-Nov-22;CSW;35598759;27686
2022;12;411;413145428;28-Nov-22;CSW;35598759;27686
2022;12;411;432691415;28-Nov-22;CSW;35598759;19672
2022;12;411;147179613;28-Nov-22;CSW;35598759;19672
2022;12;411;384299417;28-Nov-22;CSW;35598759;19672
2022;12;411;429540842;28-Nov-22;CSW;35598759;19672
2022;12;411;301194712;28-Nov-22;CSW;35598759;50000
2022;12;411;146855237;28-Nov-22;CSW;35598759;66672
2022;12;411;299861509;28-Nov-22;CSW;35598759;17346
2022;12;411;986095897;28-Nov-22;CSW;35598759;19672
2022;12;411;429492204;28-Nov-22;CSW;35598759;12306
2022;12;411;363247845;28-Nov-22;CSW;35598759;19672
2022;12;411;304308080;28-Nov-22;CSW;35598759;19672
2022;12;411;142617065;28-Nov-22;CSW;35598759;19672
2022;12;411;273190982;28-Nov-22;CSW;35598759;19672
2022;12;411;438462485;28-Nov-22;CSW;35598759;17346
2022;12;411;310741486;28-Nov-22;CSW;35598759;66672
2022;12;411;374347308;28-Nov-22;CSW;35598759;27686
2022;12;411;147150732;28-Nov-22;CSW;35598759;27686
2022;12;411;371553916;28-Nov-22;CSW;35598759;17346
2022;12;411;371554703;28-Nov-22;CSW;35598759;17346
2022;12;411;141212143;28-Nov-22;CSW;35598759;32897
2022;12;411;139322274;28-Nov-22;CSW;35598759;19672
2022;12;411;326108858;28-Nov-22;CSW;35598759;19672
2022;12;411;454175182;28-Nov-22;CSW;35598759;19672
2022;12;411;399274086;28-Nov-22;CSW;35598759;19672
2022;12;411;138422182;28-Nov-22;CSW;35598759;19672
2022;12;411;140196737;28-Nov-22;CSW;35598759;49810
2022;12;411;931935126;28-Nov-22;CSW;35598759;19672
2022;12;411;354639700;28-Nov-22;CSW;35598759;19672
2022;12;411;915335476;28-Nov-22;CSW;35598759;19672
2022;12;411;142241932;28-Nov-22;CSW;35598759;17346
2022;12;411;137898386;28-Nov-22;CSW;35598759;27686
2022;12;411;408791275;28-Nov-22;CSW;35598759;27686
2022;12;411;435458531;28-Nov-22;CSW;35598759;19672
2022;12;411;435462718;28-Nov-22;CSW;35598759;19672
2022;12;411;418002209;28-Nov-22;CSW;35598759;17346
2022;12;411;368705085;28-Nov-22;CSW;35598759;27686
2022;12;411;140376513;28-Nov-22;CSW;35598759;27686
2022;12;411;307770852;28-Nov-22;CSW;35598759;27347
2022;12;411;140388056;28-Nov-22;CSW;35598759;19672
2022;12;411;285985889;28-Nov-22;CSW;35598759;19672
2022;12;411;140436794;28-Nov-22;CSW;35598759;19672
2022;12;411;443522828;28-Nov-22;CSW;35598759;19672
2022;12;411;368678972;28-Nov-22;CSW;35598759;17346
2022;12;411;417201197;28-Nov-22;CSW;35598759;19672
2022;12;411;304349453;28-Nov-22;CSW;35598759;27686
2022;12;411;320150633;28-Nov-22;CSW;35598759;64112
2022;12;411;432899305;28-Nov-22;CSW;35598759;27686
2022;12;411;282735023;28-Nov-22;CSW;35598759;27686
2022;12;411;139286979;28-Nov-22;CSW;35598759;66672
2022;12;411;339575382;28-Nov-22;CSW;35598759;27686
2022;12;411;742215767;28-Nov-22;CSW;35598759;19672
2022;12;411;139432900;28-Nov-22;CSW;35598759;19672
2022;12;411;309390350;28-Nov-22;CSW;35598759;19672
2022;12;411;316807773;28-Nov-22;CSW;35598759;19672
2022;12;411;442684734;28-Nov-22;CSW;35598759;17346
2022;12;411;353235565;28-Nov-22;CSW;35598759;27686
2022;12;411;292526154;28-Nov-22;CSW;35598759;27686
2022;12;411;137777994;28-Nov-22;CSW;35598759;27686
2022;12;411;641315736;28-Nov-22;CSW;35598759;27686
2022;12;411;399755830;28-Nov-22;CSW;35598759;19672
2022;12;411;318078365;28-Nov-22;CSW;35598759;66672
2022;12;411;102470218;28-Nov-22;CSW;35598759;66672
2022;12;411;379838606;28-Nov-22;CSW;35598759;19672
2022;12;411;336489055;28-Nov-22;CSW;35598759;66672
2022;12;411;435316514;28-Nov-22;CSW;35598759;19672
2022;12;411;300989105;28-Nov-22;CSW;35598759;19672
2022;12;411;105279494;28-Nov-22;CSW;35598759;27686
2022;12;411;142083568;28-Nov-22;CSW;35598759;66672
2022;12;411;280106603;28-Nov-22;CSW;35598759;27686
2022;12;411;758955973;28-Nov-22;CSW;35598759;17092
2022;12;411;742275101;28-Nov-22;CSW;35598759;19672
2022;12;411;758935125;28-Nov-22;CSW;35598759;27686
2022;12;411;421377372;28-Nov-22;CSW;35598759;47981
2022;12;411;382382028;28-Nov-22;CSW;35598759;19672
2022;12;411;447495331;28-Nov-22;CSW;35598759;19672
2022;12;411;309814211;28-Nov-22;CSW;35598759;19672
2022;12;411;142223758;28-Nov-22;CSW;35598759;19672
2022;12;411;289312169;28-Nov-22;CSW;35598759;27686
2022;12;411;108482185;28-Nov-22;CSW;35598759;27686
2022;12;411;505135459;28-Nov-22;CSW;35598759;19672
2022;12;411;406682508;28-Nov-22;CSW;35598759;66672
2022;12;411;317083470;28-Nov-22;CSW;35598759;19672
2022;12;411;974775933;28-Nov-22;CSW;35598759;19672
2022;12;411;309246710;28-Nov-22;CSW;35598759;19672
2022;12;411;389024140;28-Nov-22;CSW;35598759;19672
2022;12;411;315657755;28-Nov-22;CSW;35598759;19672
2022;12;411;443687934;28-Nov-22;CSW;35598759;27686
2022;12;411;435595443;28-Nov-22;CSW;35598759;19672
2022;12;411;142061156;28-Nov-22;CSW;35598759;19672
2022;12;411;443689508;28-Nov-22;CSW;35598759;27686
2022;12;411;483535126;28-Nov-22;CSW;35598759;66672
2022;12;411;859215626;28-Nov-22;CSW;35598759;19672
2022;12;411;100690782;28-Nov-22;CSW;35598759;66672
2022;12;411;829516463;28-Nov-22;CSW;35598759;66672
