A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2021;11;411;147777731;2-dic-21;CTW;32911077;43466
2021;11;411;148644865;2-dic-21;CTW;32911077;56099
2021;11;411;150471112;1-dic-21;CSW;32910870;26907
2021;11;411;154347946;2-dic-21;CTW;32911077;56319
2021;11;411;154839556;1-dic-21;CTW;32910871;26907
2021;11;411;155469074;1-dic-21;CTW;32910871;64531
2021;11;411;155761009;1-dic-21;AT3;32911068;58186
2021;11;411;155787549;2-dic-21;AT3;32911157;72600
2021;11;411;156188503;2-dic-21;AT3;32911157;30316
2021;11;411;156495412;1-dic-21;CTW;32910871;64530
;;;;;;;3244464
