A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2023;12;411;428193741;28-Nov-22;CSW;35598759;16970
2023;12;411;421069676;28-Dec-22;CSW;35598759;17346
2023;12;411;424243427;28-May-22;CSW;35598759;16970
2023;12;411;424242640;28-Oct-22;CSW;35598759;16970
2023;12;411;424868862;28-Nov-22;CSW;35598759;17346
2023;12;411;425352235;28-Nov-22;CSW;35598759;17346
2023;12;411;424870485;28-Sep-22;CSW;35598759;17346
2023;12;411;419823099;28-Nov-22;CSW;35598759;17346
2023;12;411;428162247;28-Nov-22;CSW;35598759;17346
2023;12;411;428162247;28-Nov-22;CSW;35598759;17346
