A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2021;9;411;100214670;17-sep-21;166;32562327;63877
2021;9;411;100249202;17-sep-21;CSW;32548904;16610
2021;9;411;100286447;17-sep-21;CSW;32548904;35079
2021;9;411;100392055;18-sep-21;AT1;32562280;26512
2021;9;411;100721013;17-sep-21;CSW;32548904;19828
2021;9;411;100751730;18-sep-21;166;32562328;17042
2021;9;411;100937208;17-sep-21;166;32562327;46359
2021;9;411;101077680;18-sep-21;PSE;32562371;26512
2021;9;411;101467969;17-sep-21;CSW;32548904;16696
2021;9;411;102070060;18-sep-21;166;32562328;19329
2021;9;411;102264943;17-sep-21;CSW;32548904;18837
2021;9;411;102372015;18-sep-21;AT1;32562280;43935
2021;9;411;102568362;17-sep-21;CSW;32548904;12291
2021;9;411;102604667;17-sep-21;CSW;32548904;63877
2021;9;411;102750761;18-sep-21;AT1;32562280;16610
2021;9;411;102810932;17-sep-21;CSW;32548904;19329
2021;9;411;102822475;17-sep-21;166;32562327;18837
2021;9;411;103154166;18-sep-21;166;32562328;19728
2021;9;411;103928883;18-sep-21;PSE;32562371;49807
2021;9;411;104109465;17-sep-21;CSW;32548904;18837
2021;9;411;105101068;17-sep-21;CSW;32548904;20333
2021;9;411;105102845;17-sep-21;CSW;32548904;19343
2021;9;411;105160615;18-sep-21;AT1;32562280;26512
2021;9;411;105328909;17-sep-21;R79;32562325;32788
2021;9;411;105414779;17-sep-21;CSW;32548904;20364
2021;9;411;105476677;17-sep-21;CSW;32548904;18837
2021;9;411;106205802;17-sep-21;CSW;32548904;18837
2021;9;411;106210876;17-sep-21;R79;32562325;28562
2021;9;411;106237193;17-sep-21;166;32562327;27557
2021;9;411;106295963;19-sep-21;166;32562330;18837
2021;9;411;106387415;17-sep-21;166;32562327;26512
2021;9;411;106589503;17-sep-21;166;32562327;61436
2021;9;411;106714919;17-sep-21;CSW;32548904;18837
2021;9;411;106731316;19-sep-21;166;32562330;63877
2021;9;411;107065571;17-sep-21;CSW;32548904;63877
2021;9;411;107115873;17-sep-21;CSW;32548904;17016
2021;9;411;107190140;18-sep-21;AT3;32562286;18837
2021;9;411;107262854;17-sep-21;166;32562327;61436
2021;9;411;107376618;18-sep-21;AT1;32562280;20868
2021;9;411;107417828;17-sep-21;166;32562327;31193
2021;9;411;107533205;17-sep-21;CSW;32548904;18837
2021;9;411;107669481;17-sep-21;CSW;32548904;17043
2021;9;411;107677796;17-sep-21;CSW;32548904;17496
2021;9;411;107692629;18-sep-21;PSE;32562371;26512
2021;9;411;107726201;17-sep-21;CSW;32548904;17068
2021;9;411;107830255;18-sep-21;AT1;32562280;193714
2021;9;411;108315356;18-sep-21;AT3;32562286;18837
2021;9;411;108798037;18-sep-21;AT1;32562280;19298
2021;9;411;108854180;17-sep-21;CSW;32548904;16610
2021;9;411;109178466;17-sep-21;CSW;32548904;17064
2021;9;411;109230381;18-sep-21;AT3;32562286;18463
2021;9;411;109352550;19-sep-21;AT3;32562289;18837
2021;9;411;109845847;18-sep-21;PSE;32562371;26512
2021;9;411;109973867;18-sep-21;BT1;32562299;27559
2021;9;411;110086660;17-sep-21;CSW;32548904;17893
2021;9;411;110614575;18-sep-21;AT3;32562286;42770
2021;9;411;110684888;19-sep-21;AT1;32562288;18837
2021;9;411;110698885;19-sep-21;R5;32562293;16250
2021;9;411;110852121;18-sep-21;AT3;32562286;16250
2021;9;411;110942019;17-sep-21;166;32562327;18837
2021;9;411;110948701;17-sep-21;166;32562327;18837
2021;9;411;111238242;19-sep-21;AT1;32562288;18327
2021;9;411;111717532;19-sep-21;PSE;32562378;27456
2021;9;411;112082340;17-sep-21;CSW;32548904;25894
2021;9;411;112506101;17-sep-21;CSW;32548904;50510
2021;9;411;112512952;17-sep-21;CSW;32548904;16250
2021;9;411;112831304;18-sep-21;166;32562328;21374
2021;9;411;112852939;17-sep-21;CSW;32548904;27609
2021;9;411;113297607;17-sep-21;CSW;32548904;26512
2021;9;411;113371934;17-sep-21;166;32562327;26512
2021;9;411;113585465;17-sep-21;CSW;32548904;18837
2021;9;411;114380985;17-sep-21;CSW;32548904;19283
2021;9;411;115245396;17-sep-21;166;32562327;18837
2021;9;411;115903785;19-sep-21;AT1;32562288;17043
2021;9;411;116469845;18-sep-21;RM6;32562361;16610
2021;9;411;116662800;19-sep-21;RM6;32562364;18837
2021;9;411;116743606;18-sep-21;BT1;32562299;27466
2021;9;411;117189151;18-sep-21;AT3;32562286;31195
2021;9;411;117554687;19-sep-21;PSE;32562378;54717
2021;9;411;118095994;17-sep-21;CSW;32548904;18400
2021;9;411;118278111;17-sep-21;CSW;32548904;17029
2021;9;411;118280734;17-sep-21;166;32562327;18391
2021;9;411;118353225;18-sep-21;AT3;32562286;16610
2021;9;411;118856491;17-sep-21;166;32562327;40058
2021;9;411;119141017;18-sep-21;AT1;32562280;37925
2021;9;411;119183277;18-sep-21;AT1;32562280;16610
2021;9;411;119526232;19-sep-21;AT1;32562288;16610
2021;9;411;119773080;18-sep-21;AT3;32562286;16250
2021;9;411;120093035;18-sep-21;166;32562328;18410
2021;9;411;120400791;17-sep-21;CSW;32548904;82489
2021;9;411;120461902;17-sep-21;CSW;32548904;16610
2021;9;411;120576453;18-sep-21;PSE;32562371;26512
2021;9;411;120661436;17-sep-21;166;32562327;16659
2021;9;411;120702646;17-sep-21;CSW;32548904;19267
