A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2023;1;411;427153206;27-ene-23;CSW;36056423;16970
2023;1;411;427151632;27-ene-23;CTW;36056424;16970
2023;1;411;427148232;26-ene-23;CSW;36056292;16970
2023;1;411;427138363;26-ene-23;CSW;36056292;16970
2023;1;411;427048475;27-ene-23;CTW;36056424;16970
2023;1;411;427059121;27-ene-23;166;36056589;16970
2023;1;411;427060967;27-ene-23;CSW;36056423;16970
2023;1;411;427068213;27-ene-23;CTW;36056424;16970
2023;1;411;427070836;27-ene-23;166;36056589;16970
2023;1;411;428086356;27-ene-23;CSW;36056423;16970
2023;1;411;427073287;26-ene-23;CSW;36056292;16970
2023;1;411;427522850;28-ene-23;CTW;36056567;16970
2023;1;411;427079979;26-ene-23;CTW;36056293;16970
2023;1;411;427082379;26-ene-23;CSW;36056292;16970
2023;1;411;428085579;26-ene-23;PSE;36056473;16970
2023;1;411;427189605;26-ene-23;CSW;36056292;16970
2023;1;411;427193892;28-ene-23;CTW;36056567;16970
2023;1;411;427197910;27-ene-23;CSW;36056423;16970
2023;1;411;427199584;26-ene-23;PSE;36056473;16970
2023;1;411;427205062;27-ene-23;CSW;36056423;16970
2023;1;411;427183913;27-ene-23;AT1;36056568;16970
2023;1;411;427181359;28-ene-23;CTW;36056567;16970
2023;1;411;427084933;26-ene-23;CSW;36056292;16970
2023;1;411;427087284;28-ene-23;CSW;36056566;11110
2023;1;411;427090684;27-ene-23;CSW;36056423;16970
2023;1;411;427094802;27-ene-23;CSW;36056423;16970
2023;1;411;427329805;27-ene-23;CTW;36056424;16970
2023;1;411;427331418;26-ene-23;CTW;36056293;16970
2023;1;411;427337100;26-ene-23;CSW;36056292;16970
2023;1;411;427291095;27-ene-23;CSW;36056423;16970
2023;1;411;427340500;27-ene-23;CSW;36056423;16970
2023;1;411;427345415;28-ene-23;CTW;36056567;16970
