A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2021;11;411;105396658;1-dic-21;CTW;32910871;17718
2021;11;411;106275115;2-dic-21;CTW;32911077;16867
2021;11;411;106398171;1-dic-21;CSW;32910870;17036
2021;11;411;106467434;2-dic-21;CTW;32911077;17273
2021;11;411;106566314;1-dic-21;CTW;32910871;19123
2021;11;411;106742072;1-dic-21;CTW;32910871;65770
2021;11;411;106859287;2-dic-21;CTW;32911077;33985
2021;11;411;106876684;1-dic-21;CTW;32910871;17034
2021;11;411;106881648;1-dic-21;AT3;32911068;49190
2021;11;411;107000222;2-dic-21;AT1;32911156;19253
2021;11;411;107032503;1-dic-21;CTW;32910871;17362
2021;11;411;107271946;2-dic-21;CTW;32911077;16867
2021;11;411;107329504;1-dic-21;CTW;32910871;32437
2021;11;411;107923594;2-dic-21;CTW;32911077;38380
2021;11;411;109183420;1-dic-21;CSW;32910870;17712
2021;11;411;109497818;1-dic-21;CTW;32910871;19216
2021;11;411;109919115;1-dic-21;CSW;32910870;27039
2021;11;411;110692193;2-dic-21;AT3;32911157;17754
2021;11;411;111236688;1-dic-21;111;32911107;16508
2021;11;411;111252308;2-dic-21;CSW;32911071;21393
2021;11;411;111540156;1-dic-21;166;32911106;19617
2021;11;411;111613647;1-dic-21;AT3;32911068;16203
2021;11;411;111755564;1-dic-21;AT3;32911068;17371
2021;11;411;111836360;1-dic-21;CTW;32910871;194875
2021;11;411;112478311;1-dic-21;CTW;32910871;54004
2021;11;411;113702566;1-dic-21;CTW;32910871;17792
2021;11;411;113939386;1-dic-21;CSW;32910870;19217
2021;11;411;114243973;1-dic-21;CTW;32910871;18284
2021;11;411;114330410;2-dic-21;CTW;32911077;19196
2021;11;411;114414667;1-dic-21;CTW;32910871;1170
;;;;;;;875646
