ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2023;2;411;445569701;11/28/2022;CSW;35598759;17346
2023;2;411;436238018;11/17/2022;CSW;35598759;16970
2023;2;411;438581103;11/17/2022;CSW;35598759;17346
2023;2;411;442378602;11/17/2022;CSW;35598759;100096
2023;2;411;418148344;11/17/2022;CSW;35598759;17346
2023;2;411;432724310;11/17/2022;CSW;35598759;16970
2023;2;411;396604164;11/17/2022;CSW;35598759;17346
2023;2;411;428196092;11/17/2022;CSW;35598759;43665
2023;2;411;432334131;11/17/2022;CSW;35598759;17346
2023;2;411;412224801;11/17/2022;CSW;35598759;17346
