A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;11;411;274350879;28-Nov-22;CSW;35598759;27686
2022;11;411;181900237;28-Nov-22;CSW;35598759;28594
2022;11;411;429101985;28-Nov-22;CSW;35598759;16970
2022;11;411;929675716;28-Nov-22;CSW;35598759;19672
2022;11;411;436112711;28-Nov-22;CSW;35598759;27686
2022;11;411;413104155;28-Nov-22;CSW;35598759;17346
2022;11;411;183695610;28-Nov-22;CSW;35598759;16970
2022;11;411;183342513;28-Nov-22;CSW;35598759;66672
2022;11;411;183360707;28-Nov-22;CSW;35598759;19672
2022;11;411;413105832;28-Nov-22;CSW;35598759;17346
2022;11;411;413103378;28-Nov-22;CSW;35598759;17346
2022;11;411;434017051;28-Nov-22;CSW;35598759;27686
2022;11;411;434018838;28-Nov-22;CSW;35598759;27686
2022;11;411;433897690;28-Nov-22;CSW;35598759;27686
2022;11;411;434403202;28-Nov-22;CSW;35598759;27686
2022;11;411;181877252;28-Nov-22;CSW;35598759;27686
2022;11;411;183343300;28-Nov-22;CSW;35598759;66672
2022;11;411;419830517;28-Nov-22;CSW;35598759;17346
2022;11;411;419832181;28-Nov-22;CSW;35598759;17346
2022;11;411;429099525;28-Nov-22;CSW;35598759;17346
2022;11;411;429098748;28-Nov-22;CSW;35598759;17346
2022;11;411;432651829;28-Nov-22;CSW;35598759;17346
2022;11;411;183277388;28-Nov-22;CSW;35598759;16970
2022;11;411;920615291;28-Nov-22;CSW;35598759;16970
2022;11;411;108856644;28-Nov-22;CSW;35598759;16970
2022;11;411;183267409;28-Nov-22;CSW;35598759;16970
2022;11;411;420415282;28-Nov-22;CSW;35598759;16970
2022;11;411;360195212;28-Nov-22;CSW;35598759;16970
2022;11;411;931215839;28-Nov-22;CSW;35598759;17346
2022;11;411;534255546;28-Nov-22;CSW;35598759;19224
2022;11;411;418402457;28-Nov-22;CSW;35598759;16970
2022;11;411;388847696;28-Nov-22;CSW;35598759;19672
2022;11;411;412270148;28-Nov-22;CSW;35598759;52006
2022;11;411;416631003;28-Nov-22;CSW;35598759;28594
2022;11;411;416632890;28-Nov-22;CSW;35598759;17092
2022;11;411;441085880;28-Nov-22;CSW;35598759;17092
2022;11;411;429731384;28-Nov-22;CSW;35598759;27686
2022;11;411;444183840;28-Nov-22;CSW;35598759;27686
2022;11;411;439271802;28-Nov-22;CSW;35598759;27038
2022;11;411;439272689;28-Nov-22;CSW;35598759;27038
2022;11;411;473275684;28-Nov-22;CSW;35598759;28594
2022;11;411;751936629;28-Nov-22;CSW;35598759;44426
2022;11;411;433292003;28-Nov-22;CSW;35598759;52006
2022;11;411;299551249;28-Nov-22;CSW;35598759;28594
2022;11;411;299554690;28-Nov-22;CSW;35598759;28594
2022;11;411;303574830;28-Nov-22;CSW;35598759;28594
2022;11;411;179348892;28-Nov-22;CSW;35598759;43055
2022;11;411;295799109;28-Nov-22;CSW;35598759;19672
2022;11;411;429607592;28-Nov-22;CSW;35598759;27686
2022;11;411;429608379;28-Nov-22;CSW;35598759;27686
2022;11;411;434234182;28-Nov-22;CSW;35598759;27686
2022;11;411;434236646;28-Nov-22;CSW;35598759;27686
2022;11;411;424072733;28-Nov-22;CSW;35598759;19672
2022;11;411;408650035;28-Nov-22;CSW;35598759;19672
2022;11;411;179336359;28-Nov-22;CSW;35598759;52006
2022;11;411;334194810;28-Nov-22;CSW;35598759;17346
2022;11;411;104832152;28-Nov-22;CSW;35598759;19672
2022;11;411;289098642;28-Nov-22;CSW;35598759;19672
2022;11;411;103111129;28-Nov-22;CSW;35598759;19672
2022;11;411;106388202;28-Nov-22;CSW;35598759;19672
2022;11;411;342177352;28-Nov-22;CSW;35598759;19672
2022;11;411;120602889;28-Nov-22;CSW;35598759;17346
2022;11;411;124226213;28-Nov-22;CSW;35598759;17346
2022;11;411;345439488;28-Nov-22;CSW;35598759;17346
2022;11;411;102077539;28-Nov-22;CSW;35598759;19672
