A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;1;411;102807532;28-ene-22;AT3;33262185;19184
2022;1;411;103456011;28-ene-22;AT1;33262184;50629
2022;1;411;104110201;28-ene-22;166;33262205;19184
2022;1;411;104493215;28-ene-22;166;33262205;38585
2022;1;411;105559937;28-ene-22;RM3;33262198;50629
2022;1;411;106383397;28-ene-22;AT3;33262185;46163
2022;1;411;108005096;28-ene-22;AT3;33262185;26705
2022;1;411;108867300;28-ene-22;AT3;33262185;30089
2022;1;411;110671568;28-ene-22;166;33262205;19207
2022;1;411;111757128;28-ene-22;AT3;33262185;28040
2022;1;411;112355365;28-ene-22;AT3;33262185;19184
2022;1;411;113446999;28-ene-22;AT3;33262185;26994
2022;1;411;115619955;28-ene-22;AT3;33262185;16923
2022;1;411;123542375;28-ene-22;AT3;33262185;30338
2022;1;411;124555444;28-ene-22;166;33262205;16563
2022;1;411;125042268;28-ene-22;AT1;33262184;16923
2022;1;411;125051350;28-ene-22;AT1;33262184;64669
2022;1;411;125248584;28-ene-22;AT3;33262185;17329
2022;1;411;142966134;28-ene-22;AT3;33262185;26994
2022;1;411;144718417;28-ene-22;AT3;33262185;41745
2022;1;411;155089664;28-ene-22;R5;33262187;29302
2022;1;411;166916789;28-ene-22;AT3;33262185;18704
2022;1;411;172215684;28-ene-22;166;33262205;44512
2022;1;411;172221425;28-ene-22;166;33262205;41797
2022;1;411;172358488;28-ene-22;AT3;33262185;64669
2022;1;411;172703166;28-ene-22;AT3;33262185;64669
2022;1;411;173138965;28-ene-22;AT3;33262185;32093
2022;1;411;173336925;28-ene-22;AT3;33262185;26994
2022;1;411;173492008;28-ene-22;AT1;33262184;64669
2022;1;411;173525703;28-ene-22;166;33262205;36946
2022;1;411;174318600;28-ene-22;166;33262205;27979
2022;1;411;175044757;28-ene-22;166;33262205;47618
2022;1;411;175065282;28-ene-22;AT3;33262185;17434
2022;1;411;175376329;28-ene-22;AT3;33262185;108680
2022;1;411;176347348;28-ene-22;AT3;33262185;31033
2022;1;411;176377065;28-ene-22;AT1;33262184;47133
2022;1;411;176750806;28-ene-22;AT3;33262185;64669
2022;1;411;176820946;28-ene-22;BT1;33262202;63450
2022;1;411;176886072;28-ene-22;AT3;33262185;36946
2022;1;411;177389457;28-ene-22;166;33262205;33064
2022;1;411;177696276;28-ene-22;AT3;33262185;64669
2022;1;411;178104695;28-ene-22;166;33262205;64669
2022;1;411;179080731;28-ene-22;AT3;33262185;51014
2022;1;411;179108672;28-ene-22;BT1;33262202;47618
2022;1;411;180536539;28-ene-22;AT3;33262185;67668
2022;1;411;181558800;28-ene-22;AT3;33262185;29301
2022;1;411;183761632;28-ene-22;166;33262205;30637
2022;1;411;183942205;28-ene-22;AT3;33262185;30582
2022;1;411;184197218;28-ene-22;AT3;33262185;21721
2022;1;411;186756335;28-ene-22;AT3;33262185;19279
2022;1;411;187960005;28-ene-22;BT1;33262202;19184
2022;1;411;190282422;28-ene-22;166;33262205;26994
2022;1;411;191299729;28-ene-22;AT1;33262184;49558
2022;1;411;192778978;28-ene-22;AT3;33262185;26506
2022;1;411;193593136;28-ene-22;AT3;33262185;27865
2022;1;411;194228306;28-ene-22;AT3;33262185;30401
2022;1;411;194233360;28-ene-22;BT1;33262202;28046
2022;1;411;194642500;28-ene-22;AT1;33262184;26994
2022;1;411;195423974;28-ene-22;AT3;33262185;16372
2022;1;411;195861054;28-ene-22;166;33262205;26994
2022;1;411;196023675;28-ene-22;AT3;33262185;31678
2022;1;411;196843729;28-ene-22;BT1;33262202;64669
2022;1;411;198084604;28-ene-22;AT3;33262185;49558
2022;1;411;198839350;28-ene-22;166;33262205;36099
2022;1;411;198862508;28-ene-22;166;33262205;37287
2022;1;411;198874031;28-ene-22;166;33262205;36099
2022;1;411;198879946;28-ene-22;166;33262205;36099
2022;1;411;198910236;28-ene-22;166;33262205;36099
2022;1;411;198951609;28-ene-22;AT3;33262185;64669
2022;1;411;199035775;28-ene-22;166;33262205;17545
2022;1;411;199531562;28-ene-22;BT1;33262202;54291
2022;1;411;201484305;28-ene-22;AT3;33262185;64669
2022;1;411;203298586;28-ene-22;AT1;33262184;31346
2022;1;411;203343973;28-ene-22;AT3;33262185;27981
2022;1;411;203608583;28-ene-22;AT1;33262184;27865
2022;1;411;203784404;28-ene-22;AT3;33262185;47141
2022;1;411;204949206;28-ene-22;AT3;33262185;17398
2022;1;411;205097983;28-ene-22;AT3;33262185;50629
2022;1;411;205754595;28-ene-22;50;33262212;64669
2022;1;411;206398000;28-ene-22;166;33262205;165649
2022;1;411;206609027;28-ene-22;AT3;33262185;29198
2022;1;411;206761972;28-ene-22;166;33262205;16923
2022;1;411;206810497;28-ene-22;AT3;33262185;16563
2022;1;411;206975503;28-ene-22;AT1;33262184;31477
2022;1;411;207231299;28-ene-22;R5;33262187;64669
2022;1;411;207529967;28-ene-22;AT3;33262185;64669
2022;1;411;207680025;28-ene-22;AT1;33262184;64669
2022;1;411;207709743;28-ene-22;AT1;33262184;64669
2022;1;411;208554628;28-ene-22;R5;33262187;27979
2022;1;411;208669279;28-ene-22;BT1;33262202;64669
2022;1;411;208901970;28-ene-22;AT3;33262185;64669
2022;1;411;208911849;28-ene-22;BT1;33262202;62658
2022;1;411;209162734;28-ene-22;166;33262205;130880
2022;1;411;211348817;28-ene-22;166;33262205;26994
2022;1;411;211547564;28-ene-22;R5;33262187;26994
2022;1;411;211891728;28-ene-22;BT1;33262202;17342
2022;1;411;212036842;28-ene-22;BT1;33262202;26994
2022;1;411;212774413;28-ene-22;AT3;33262185;26994
2022;1;411;212987267;28-ene-22;50;33262224;17329
2022;1;411;213321308;28-ene-22;R5;33262187;28624
2022;1;411;213521832;28-ene-22;AT4;33262186;19644
2022;1;411;213613394;28-ene-22;AT3;33262185;16923
2022;1;411;213732112;28-ene-22;166;33262205;21721
2022;1;411;214061462;28-ene-22;AT3;33262185;19184
2022;1;411;268019704;28-ene-22;50;33262217;131
2022;1;411;268424916;28-ene-22;166;33262205;31158
2022;1;411;272199166;28-ene-22;AT3;33262185;37914
2022;1;411;272786528;28-ene-22;BT1;33262202;32846
2022;1;411;274689910;28-ene-22;166;33262205;20175
2022;1;411;280516620;28-ene-22;AT3;33262185;16923
2022;1;411;280925970;28-ene-22;AT3;33262185;33494
2022;1;411;280941690;28-ene-22;AT1;33262184;63627
2022;1;411;281827626;28-ene-22;AT3;33262185;17439
2022;1;411;281965415;28-ene-22;AT3;33262185;16923
2022;1;411;282934970;28-ene-22;166;33262205;26994
2022;1;411;284927150;28-ene-22;AT3;33262185;19741
2022;1;411;286998058;28-ene-22;AT3;33262185;19248
2022;1;411;288553107;28-ene-22;RM6;33262196;27127
2022;1;411;288614165;28-ene-22;521;33262188;27979
2022;1;411;291562763;28-ene-22;AT1;33262184;19184
2022;1;411;294909713;28-ene-22;R19;33262206;64669
2022;1;411;303902111;28-ene-22;AT3;33262185;19184
2022;1;411;304542408;28-ene-22;AT3;33262185;27980
2022;1;411;304809782;28-ene-22;AT3;33262185;19184
2022;1;411;308687392;28-ene-22;166;33262205;64669
2022;1;411;311401458;28-ene-22;AT1;33262184;16923
2022;1;411;314403789;28-ene-22;AT1;33262184;60376
2022;1;411;315022441;28-ene-22;AT3;33262185;17886
2022;1;411;315287314;28-ene-22;AT3;33262185;20693
2022;1;411;317693021;28-ene-22;166;33262205;64669
2022;1;411;318974300;28-ene-22;AT3;33262185;19644
2022;1;411;320804845;28-ene-22;AT1;33262184;17415
2022;1;411;322635423;28-ene-22;AT3;33262185;28046
2022;1;411;322711314;28-ene-22;AT1;33262184;43251
2022;1;411;323433394;28-ene-22;166;33262205;37090
2022;1;411;323977923;28-ene-22;166;33262205;18206
2022;1;411;324149413;28-ene-22;AT1;33262184;19184
2022;1;411;328363719;28-ene-22;AT3;33262185;28626
2022;1;411;330168605;28-ene-22;AT3;33262185;19644
2022;1;411;334857014;28-ene-22;AT3;33262185;17383
2022;1;411;337078000;28-ene-22;AT3;33262185;35054
2022;1;411;340044719;28-ene-22;AT3;33262185;21721
2022;1;411;344888365;28-ene-22;AT3;33262185;34050
2022;1;411;345238077;28-ene-22;166;33262205;66904
2022;1;411;345312304;28-ene-22;AT3;33262185;27127
2022;1;411;345584705;28-ene-22;AT3;33262185;26994
2022;1;411;346473231;28-ene-22;166;33262205;50629
2022;1;411;348021762;28-ene-22;166;33262205;26994
2022;1;411;348422707;28-ene-22;AT3;33262185;64669
2022;1;411;350773845;28-ene-22;AT3;33262185;64669
2022;1;411;352697762;28-ene-22;AT1;33262184;26994
2022;1;411;353074840;28-ene-22;BT1;33262202;19644
2022;1;411;353679437;28-ene-22;AT1;33262184;27865
2022;1;411;356105748;28-ene-22;166;33262205;64669
2022;1;411;356338430;28-ene-22;AT3;33262185;17817
2022;1;411;357566976;28-ene-22;166;33262205;63483
2022;1;411;360067302;28-ene-22;BT1;33262202;28159
2022;1;411;362813823;28-ene-22;AT3;33262185;64669
2022;1;411;363527398;28-ene-22;166;33262205;16923
2022;1;411;365412655;28-ene-22;AT3;33262185;18310
2022;1;411;367468610;28-ene-22;AT1;33262184;16923
2022;1;411;367553503;28-ene-22;AT3;33262185;17775
2022;1;411;368151730;28-ene-22;AT3;33262185;16923
2022;1;411;369920401;28-ene-22;AT3;33262185;20035
2022;1;411;370445995;28-ene-22;AT1;33262184;50629
2022;1;411;371389801;28-ene-22;AT3;33262185;21206
2022;1;411;372786467;28-ene-22;AT3;33262185;20021
2022;1;411;372873004;28-ene-22;AT3;33262185;19184
2022;1;411;377708314;28-ene-22;166;33262205;17329
2022;1;411;380009116;28-ene-22;BT1;33262202;20230
2022;1;411;380191788;28-ene-22;BT1;33262202;18757
2022;1;411;380580180;28-ene-22;AT3;33262185;27981
2022;1;411;381082788;28-ene-22;AT1;33262184;26994
2022;1;411;381237752;28-ene-22;BT1;33262202;26994
2022;1;411;382144472;28-ene-22;AT3;33262185;26994
2022;1;411;383340727;28-ene-22;AT3;33262185;16923
2022;1;411;383341504;28-ene-22;AT3;33262185;16923
2022;1;411;384496600;28-ene-22;166;33262205;64669
2022;1;411;384776143;28-ene-22;AT3;33262185;16563
2022;1;411;385222594;28-ene-22;166;33262205;16923
2022;1;411;385522885;28-ene-22;AT3;33262185;20793
2022;1;411;385586347;28-ene-22;AT1;33262184;16923
2022;1;411;386225794;28-ene-22;AT3;33262185;19699
2022;1;411;386230758;28-ene-22;AT3;33262185;34040
2022;1;411;387740401;28-ene-22;166;33262205;16563
