A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;11;411;143161872;28-Nov-22;CSW;35598759;19672
2022;11;411;435327270;28-Nov-22;CSW;35598759;19672
2022;11;411;431585958;28-Nov-22;CSW;35598759;19672
2022;11;411;445755228;28-Nov-22;CSW;35598759;19672
2022;11;411;119886067;28-Nov-22;CSW;35598759;12306
2022;11;411;443825560;28-Nov-22;CSW;35598759;27686
2022;11;411;375610362;28-Nov-22;CSW;35598759;27686
2022;11;411;441417399;28-Nov-22;CSW;35598759;28594
2022;11;411;439749356;28-Nov-22;CSW;35598759;28594
