A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;11;411;340897831;25-Nov-22;CSW;35598759;27686
2022;11;411;377566560;28-Nov-22;CSW;35598759;16970
2022;11;411;365136130;28-Nov-22;CSW;35598759;16970
2022;11;411;391527911;28-Nov-22;CSW;35598759;27686
2022;11;411;389088602;28-Nov-22;X6;35598759;27686
2022;11;411;387444338;23-Nov-22;X6;35598759;19672
2022;11;411;109949832;28-Nov-22;X6;35598759;27686
2022;11;411;425889346;28-Nov-22;X6;35598759;27686
2022;11;411;874215745;28-Nov-22;X6;35598759;16970
2022;11;411;373199954;28-Nov-22;X6;35598759;16970
2022;11;411;374267399;28-Nov-22;AAP;35598759;16970
2022;11;411;881015201;28-Nov-22;AC;35598759;19224
2022;11;411;373336703;28-Nov-22;X6;35598759;19224
2022;11;411;212735504;28-Nov-22;X6;35598759;19224
2022;11;411;417734170;28-Nov-22;PSE;35598759;17346
2022;11;411;401449492;28-Nov-22;X6;35598759;17346
2022;11;411;105944301;28-Oct-22;X6;35598759;17346
2022;11;411;704081948;28-Oct-22;X6;35598759;28594
2022;11;411;212502912;28-Oct-22;X6;35598759;28594
2022;11;411;212565607;28-Oct-22;CSW;35598759;19672
2022;11;411;210957732;28-Oct-22;CSW;35598759;27038
2022;11;411;111340622;22-Nov-22;CSW;35598759;27686
2022;11;411;400351399;22-Nov-22;CSW;35598759;19672
2022;11;411;301134388;22-Nov-22;CSW;35598759;19672
2022;11;411;118399503;22-Nov-22;CSW;35598759;17346
2022;11;411;211061705;22-Nov-22;CSW;35598759;28594
2022;11;411;371979604;22-Nov-22;CSW;35598759;17346
2022;11;411;598855516;22-Nov-22;CSW;35598759;17346
2022;11;411;828755947;22-Nov-22;X6;35598759;17346
2022;11;411;106311410;22-Nov-22;X6;35598759;17346
2022;11;411;213835220;22-Nov-22;X6;35598759;17346
2022;11;411;303267911;22-Nov-22;X6;35598759;17346
2022;11;411;213823897;22-Nov-22;X6;35598759;28594
2022;11;411;210858752;22-Nov-22;X6;35598759;19672
2022;11;411;213805503;22-Nov-22;AAP;35598759;17346
2022;11;411;371947323;22-Nov-22;AC;35598759;17346
2022;11;411;418572427;28-Nov-22;X6;35598759;17346
2022;11;411;418571640;28-Nov-22;X6;35598759;17346
2022;11;411;418911464;28-Nov-22;PSE;35598759;17346
2022;11;411;418912241;28-Nov-22;X6;35598759;17346
2022;11;411;418913028;28-Nov-22;X6;35598759;17346
2022;11;411;416860577;28-Nov-22;X6;35598759;27347
2022;11;411;392290313;28-Nov-22;X6;35598759;28594
2022;11;411;696375570;28-Nov-22;CSW;35598759;19224
2022;11;411;388955768;28-Nov-22;CSW;35598759;19224
2022;11;411;103365346;2-Nov-22;CSW;35598759;19672
2022;11;411;105801507;2-Nov-22;CSW;35598759;50568
2022;11;411;411094631;2-Nov-22;CSW;35598233;27686
